id,category,name,condition,tier,file
training_10,การฝึกและจำนวนคำถาม,ก้าวแรกแห่งการเรียนรู้,ตอบคำถามสะสมครบ 10 ข้อ,Bronze,training_10-approved-v9-1024.png
training_50,การฝึกและจำนวนคำถาม,ประกายแห่งความรู้,ตอบคำถามสะสมครบ 50 ข้อ,Bronze,training_50-approved-v9-1024.png
training_100,การฝึกและจำนวนคำถาม,ร้อยข้อร้อยก้าว,ตอบคำถามสะสมครบ 100 ข้อ,Silver,training_100-approved-v9-1024.png
training_250,การฝึกและจำนวนคำถาม,นักเรียนรู้ไม่หยุดยั้ง,ตอบคำถามสะสมครบ 250 ข้อ,Silver,training_250-approved-v9-1024.png
training_500,การฝึกและจำนวนคำถาม,เส้นทางแห่งปัญญา,ตอบคำถามสะสมครบ 500 ข้อ,Gold,training_500-approved-v9-1024.png
training_1000,การฝึกและจำนวนคำถาม,ตำนานผู้ใฝ่รู้,"ตอบคำถามสะสมครบ 1,000 ข้อ",Crown,training_1000-approved-v9-1024.png
daily_days_2,ความสม่ำเสมอ — วันสะสม,เมล็ดแรกแห่งความตั้งใจ,ทำ Daily Quest สำเร็จสะสม 2 วัน,Bronze,daily_days_2-approved-v9-1024.png
daily_days_5,ความสม่ำเสมอ — วันสะสม,ต้นอ่อนแห่งความพยายาม,ทำ Daily Quest สำเร็จสะสม 5 วัน,Bronze,daily_days_5-approved-v9-1024.png
daily_days_10,ความสม่ำเสมอ — วันสะสม,รากแห่งความสม่ำเสมอ,ทำ Daily Quest สำเร็จสะสม 10 วัน,Silver,daily_days_10-approved-v9-1024.png
daily_days_20,ความสม่ำเสมอ — วันสะสม,ผลิใบแห่งการเรียนรู้,ทำ Daily Quest สำเร็จสะสม 20 วัน,Silver,daily_days_20-approved-v9-1024.png
daily_days_45,ความสม่ำเสมอ — วันสะสม,เติบโตด้วยความตั้งใจ,ทำ Daily Quest สำเร็จสะสม 45 วัน,Gold,daily_days_45-approved-v9-1024.png
daily_days_90,ความสม่ำเสมอ — วันสะสม,วินัยแห่งการเรียนรู้,ทำ Daily Quest สำเร็จสะสม 90 วัน,Crown,daily_days_90-approved-v9-1024.png
daily_streak_3,ความสม่ำเสมอ — Streak,ประกายไฟแรก,ทำ Daily Quest สำเร็จติดต่อกัน 3 วัน,Bronze,daily_streak_3-approved-v9-1024.png
daily_streak_7,ความสม่ำเสมอ — Streak,เปลวไฟต่อเนื่อง,ทำ Daily Quest สำเร็จติดต่อกัน 7 วัน,Silver,daily_streak_7-approved-v9-1024.png
daily_streak_15,ความสม่ำเสมอ — Streak,เปลวไฟแรงกล้า,ทำ Daily Quest สำเร็จติดต่อกัน 15 วัน,Gold,daily_streak_15-approved-v9-1024.png
daily_streak_30,ความสม่ำเสมอ — Streak,เพลิงแห่งความเพียร,ทำ Daily Quest สำเร็จติดต่อกัน 30 วัน,Crown,daily_streak_30-approved-v9-1024.png
correct_10,ความแม่นยำ — ตอบถูกสะสม,สิบคำตอบแรก,ตอบถูกสะสม 10 ข้อ,Bronze,correct_10-approved-v9-1024.png
correct_50,ความแม่นยำ — ตอบถูกสะสม,ประกายแห่งความเข้าใจ,ตอบถูกสะสม 50 ข้อ,Silver,correct_50-approved-v9-1024.png
correct_250,ความแม่นยำ — ตอบถูกสะสม,ความรู้ผลิบาน,ตอบถูกสะสม 250 ข้อ,Gold,correct_250-approved-v9-1024.png
correct_700,ความแม่นยำ — ตอบถูกสะสม,มงกุฎแห่งความรู้,ตอบถูกสะสม 700 ข้อ,Crown,correct_700-approved-v9-1024.png
perfect_daily_1,ความแม่นยำ — Perfect Daily,ภารกิจไร้พลาด,ทำ Perfect Daily Quest สะสม 1 ครั้ง,Bronze,perfect_daily_1-approved-v9-1024.png
perfect_daily_3,ความแม่นยำ — Perfect Daily,ฝีมือเฉียบคม,ทำ Perfect Daily Quest สะสม 3 ครั้ง,Silver,perfect_daily_3-approved-v9-1024.png
perfect_daily_10,ความแม่นยำ — Perfect Daily,ความแม่นยำเจิดจ้า,ทำ Perfect Daily Quest สะสม 10 ครั้ง,Gold,perfect_daily_10-approved-v9-1024.png
